evidence_id,platform_id,criterion,claim,source_url,source_type,status,verified_on,scope,notes
C001,convertigo,licensing,"Convertigo is available under GNU AGPLv3 or a commercial license.",https://github.com/convertigo/convertigo/blob/develop/license.txt,license,verified,2026-07-30,platform,"Public wording about source availability under the commercial option should remain aligned across official properties."
C002,convertigo,source_availability,"Convertigo publishes its platform source repository on GitHub.",https://github.com/convertigo/convertigo,repository,verified,2026-07-30,platform,"Third-party components retain their own licenses."
C003,convertigo,deployment,"Convertigo Server can be deployed using Docker Kubernetes or a Tomcat WAR on customer-controlled infrastructure.",https://doc.convertigo.com/documentation/latest/operating-guide/installing-convertigo-server,documentation,verified,2026-07-30,server,"Infrastructure architecture and support terms depend on the selected deployment."
C004,convertigo,offline_mobile,"FullSync supports local application data and synchronization after connectivity returns.",https://www.convertigo.com/platform/features/offline-data,product,verified,2026-07-30,FullSync,"Test conflict handling attachments recovery and security for the target workload."
C005,convertigo,integration,"Convertigo documents REST SOAP SQL database and enterprise-system integration capabilities.",https://www.convertigo.com/platform/features/data-api-connectors,product,verified,2026-07-30,platform,"Do not publish a precise connector count without a current inventory."
C006,convertigo,legacy_integration,"The Javelin connector supports IBM 3270 and IBM 5250 terminal sessions and automation.",https://doc.convertigo.com/documentation/latest/reference-manual/convertigo-objects/legacy/javelin-connector,documentation,verified,2026-07-30,Javelin,"Describe this as specialized legacy terminal integration and automation."
C007,convertigo,devops,"Convertigo documents integrations with GitHub Actions GitLab CircleCI Jenkins and Azure Pipelines.",https://www.convertigo.com/platform/features/devops,product,verified,2026-07-30,platform,"Validate the exact pipeline for the target edition and infrastructure."
C008,convertigo,authentication,"Convertigo documents LDAP OAuth 2.0 OpenID and SAML 2.0 authentication support.",https://www.convertigo.com/platform/features/user-authentication,product,verified,2026-07-30,platform,"Authentication support does not by itself establish compliance."
C009,convertigo,frontend,"Convertigo's low-code frontend uses Angular and Ionic technologies.",https://doc.convertigo.com/documentation/latest/programming-guide/frontend-developers/,documentation,verified,2026-07-30,Low Code Studio,"Version numbers should be rechecked before publication."
C010,convertigo,pricing,"Convertigo publishes a free Community Edition and paid editions.",https://www.convertigo.com/resources/pricing,pricing,volatile,2026-07-30,commercial_offers,"Prices limits and included services must be rechecked before use."
C011,convertigo,prompt_to_application,"Convertigo documents natural-language prompt-based application generation in No Code Studio and AI assistance in Low Code Studio.",https://www.convertigo.com/ai,product,verified,2026-08-13,No_Code_and_Low_Code_Studios,"Benchmark the actual generation workflow and output quality for the target application."
C012,convertigo,agent_integration,"Convertigo publishes an MCP server project exposing tools prompts resources and authoring guides for agentic project creation and validation.",https://github.com/convertigo/c8oprj-c8o-mcp,repository,verified,2026-08-13,Convertigo_MCP,"The current repository describes local MCP access and client setup; govern agent permissions and deployment separately."
M001,mendix,deployment,"Mendix documents deployment to Mendix Cloud and customer-controlled Kubernetes clusters.",https://docs.mendix.com/developerportal/deploy/private-cloud-deploy/,documentation,verified,2026-07-30,Mendix on Kubernetes,"Deployment rights and operational responsibilities depend on the commercial offer."
M002,mendix,on_premises,"Mendix documents on-premises deployment architectures.",https://docs.mendix.com/developerportal/deploy/on-premises-design/,documentation,verified,2026-07-30,on-premises,"Validate supported topology and licensing for the target project."
M003,mendix,offline_mobile,"Mendix supports offline-first native mobile and progressive web applications with documented synchronization behavior.",https://docs.mendix.com/refguide/mobile/building-efficient-mobile-apps/offlinefirst-data/,documentation,verified,2026-08-13,native_mobile_and_PWA,"Offline behavior has data-model and synchronization constraints."
M004,mendix,integration,"Mendix documents consumed and published REST SOAP and OData integration capabilities.",https://docs.mendix.com/refguide/modules/,documentation,verified,2026-08-13,platform,"Test the authentication transformation and operational requirements of real integrations."
M005,mendix,ecosystem,"Mendix is a Siemens business and documents integrations with Siemens products.",https://www.mendix.com/siemens/,product,verified,2026-07-30,Siemens_ecosystem,"Ecosystem alignment is a contextual selection factor rather than a universal advantage."
O001,outsystems,application_delivery,"OutSystems documents full-stack application development capabilities.",https://www.outsystems.com/low-code-platform/,product,verified,2026-08-13,platform,"Keep OutSystems 11 and OutSystems Developer Cloud distinctions explicit where applicable."
O002,outsystems,devsecops,"OutSystems documents integrated application lifecycle and DevSecOps capabilities.",https://www.outsystems.com/low-code-platform/,product,verified,2026-08-13,platform,"Exact features depend on product family and offer."
O003,outsystems,offline_mobile,"OutSystems documents offline support patterns for mobile applications.",https://success.outsystems.com/documentation/11/developing_apps/developing_mobile_apps/use_offline_data_in_mobile_apps/,documentation,scoped,2026-07-30,OutSystems_11,"Do not generalize without checking the applicable product family."
O004,outsystems,deployment,"OutSystems describes a hybrid architecture supporting on-premises and cloud-native stacks.",https://www.outsystems.com/low-code-platform/,product,scoped,2026-08-13,current_platform_positioning,"Validate the applicable product family topology and commercial deployment rights contractually."
O005,outsystems,ai,"OutSystems markets AI-assisted application and agent development capabilities.",https://www.outsystems.com/ai/,product,volatile,2026-07-30,current_AI_offering,"AI product packaging changes quickly and requires current verification."
A001,appian,process_automation,"Appian combines low-code application development with process automation capabilities.",https://appian.com/products/platform/process-automation,product,verified,2026-07-30,platform,"Assess fit against process and case-management requirements."
A002,appian,data_fabric,"Appian documents Data Fabric as a unified data layer for applications and processes.",https://appian.com/products/platform/data-fabric,product,verified,2026-07-30,platform,"Validate connectors data residency and operational behavior for the target architecture."
A003,appian,self_managed,"Appian documentation includes self-managed installation and administration material.",https://docs.appian.com/suite/help/latest/Installation_Guide.html,documentation,scoped,2026-07-30,self-managed,"Deployment availability and support must be checked against the current offer."
A004,appian,offline_mobile,"Appian documents offline forms and local evaluation in Appian Mobile and Appian for Windows.",https://docs.appian.com/suite/help/26.6/how-offline-mobile-works.html,documentation,scoped,2026-08-13,advanced_and_premium_capability_tiers,"Usage limits may apply; validate supported components and synchronization behavior."
A005,appian,security,"Appian publishes security and compliance information for Appian Cloud.",https://appian.com/trust,trust,volatile,2026-07-30,Appian_Cloud,"Certifications and regional availability require current verification."
P001,power-apps,application_delivery,"Power Apps provides canvas apps and model-driven apps within Microsoft Power Platform.",https://learn.microsoft.com/power-apps/powerapps-overview,documentation,verified,2026-07-30,Power_Apps,"The two application models have different design and data assumptions."
P002,power-apps,ecosystem,"Power Apps integrates with Microsoft 365 Dynamics 365 Dataverse Microsoft Entra ID and Azure services.",https://learn.microsoft.com/power-platform/admin/wp-security,documentation,verified,2026-07-30,Microsoft_ecosystem,"Ecosystem alignment is a contextual selection factor."
P003,power-apps,on_premises_data,"The on-premises data gateway connects Power Platform cloud services to on-premises data sources.",https://learn.microsoft.com/data-integration/gateway/service-gateway-onprem,documentation,verified,2026-07-30,gateway,"A data gateway is not an on-premises Power Apps application runtime."
P004,power-apps,offline_mobile,"Power Apps documents offline capabilities for canvas and model-driven mobile applications.",https://learn.microsoft.com/power-apps/mobile/canvas-mobile-offline-overview,documentation,scoped,2026-07-30,mobile,"Implementation differs between canvas and model-driven applications."
P005,power-apps,governance,"Microsoft documents environments roles data policies and administrative controls for Power Platform.",https://learn.microsoft.com/power-platform/admin/admin-documentation,documentation,verified,2026-07-30,Power_Platform,"Governance often spans multiple Power Platform services."
L001,lovable,prompt_to_application,"Lovable documents generating a working full-stack application from a natural-language prompt.",https://docs.lovable.dev/introduction/getting-started,documentation,verified,2026-08-13,platform,"Generated output still requires review and production validation."
L002,lovable,backend,"Lovable supports Lovable Cloud or Supabase for application backend services.",https://docs.lovable.dev/introduction/getting-started,documentation,scoped,2026-08-13,managed_backend,"Backend choice affects portability operations and security responsibilities."
L003,lovable,code_ownership,"Lovable documents two-way GitHub synchronization and deployment of synchronized code outside Lovable.",https://docs.lovable.dev/integrations/github,documentation,verified,2026-08-13,GitHub_connected_projects,"Lovable does not document importing an arbitrary existing GitHub repository as the project starting point."
L004,lovable,security,"Lovable documents database code and dependency security checks and states that automated review does not replace professional security review.",https://docs.lovable.dev/features/security,documentation,verified,2026-08-13,security_scanning,"Validate remediation workflow coverage and edition limits."
L005,lovable,publishing,"Lovable publishes a snapshot of an application to a live URL and documents restricted published-app access for Business and Enterprise plans.",https://docs.lovable.dev/features/publish,documentation,scoped,2026-08-13,publishing,"Access controls and plan availability should be rechecked before selection."
BA001,base44,prompt_to_application,"Base44 describes building fully functioning applications with AI-assisted frontend and backend creation.",https://base44.com/backend,product,verified,2026-08-13,platform,"Treat product positioning separately from workload-specific validation."
BA002,base44,managed_backend,"Base44 documents managed authentication database entities connectors and backend functions.",https://base44.com/backend,product,verified,2026-08-13,managed_backend,"Confirm service limits data residency and operational controls for the target offer."
BA003,base44,code_ownership,"Base44 documents permanent two-way GitHub synchronization and local development for eligible plans.",https://docs.base44.com/developers/app-code/local-development/github,documentation,scoped,2026-08-13,Builder_plan_and_above,"Review documented synchronization limitations before relying on GitHub as an exit path."
BA004,base44,security,"Base44 documents encryption security scanning secrets management and enterprise controls including SSO SCIM audit logs and IP allowlists.",https://docs.base44.com/Setting-up-your-app/security-overview,documentation,scoped,2026-08-13,enterprise_controls,"Certifications regional availability and plan entitlements require current verification."
BA005,base44,agent_tooling,"Base44 documents a CLI intended for use by coding agents including Cursor and Claude Code.",https://base44.com/backend,product,verified,2026-08-13,Base44_CLI,"Agent access expands the integration surface and must be governed."
CU001,cursor,agentic_development,"Cursor Agent can explore a codebase edit multiple files run commands and address errors.",https://docs.cursor.com/agent,documentation,verified,2026-08-13,Agent,"Repository and command permissions remain an engineering governance responsibility."
CU002,cursor,tool_access,"Cursor documents agent tools for code search file editing terminal execution and MCP servers.",https://docs.cursor.com/en/agent/tools,documentation,verified,2026-08-13,Agent_tools,"Tool access should be limited according to repository and data sensitivity."
CU003,cursor,remote_agents,"Cursor background agents run asynchronously in isolated remote environments connected to GitHub repositories.",https://docs.cursor.com/background-agent,documentation,scoped,2026-08-13,background_agents,"The documentation flags prompt-injection and data-exfiltration risks associated with internet and command access."
CU004,cursor,privacy,"Cursor documents privacy modes and states that requests are routed through Cursor infrastructure.",https://docs.cursor.com/account/privacy,documentation,verified,2026-08-13,service_processing,"Review current retention indexing subprocessors and contractual controls."
CU005,cursor,enterprise_governance,"Cursor documents team controls including SSO SCIM repository blocklists model controls and MCP configuration.",https://docs.cursor.com/en/account/teams/dashboard,documentation,scoped,2026-08-13,team_and_enterprise_controls,"Exact entitlements depend on the current plan."
R001,replit,prompt_to_application,"Replit documents Agent as part of its workflow for creating applications from natural-language instructions.",https://docs.replit.com/replitai/agent,documentation,verified,2026-08-13,Replit_Agent,"Generated applications require architecture security and operational review."
R002,replit,managed_backend,"Replit documents database provisioning with separate development and production environments.",https://docs.replit.com/build/add-database,documentation,verified,2026-08-13,database,"Confirm database provider topology migration and backup requirements for production."
R003,replit,secrets,"Replit documents encrypted Secrets for environment variables used by applications.",https://docs.replit.com/core-concepts/project-editor/app-setup/secrets,documentation,verified,2026-08-13,workspace_secrets,"Secret storage does not remove the need for access rotation and runtime governance."
R004,replit,deployment,"Replit documentation covers publishing applications through its deployment products.",https://docs.replit.com/cloud-services/deployments/about-deployments,documentation,scoped,2026-08-13,deployments,"Deployment types limits regions and commercial terms can change."
R005,replit,agent_applications,"Replit documents building and publishing autonomous AI agents with integrations and scheduled deployments.",https://docs.replit.com/build/build-an-agent,documentation,verified,2026-08-13,agent_applications,"Production agent permissions and external integrations require dedicated controls."
BO001,bolt,prompt_to_application,"Bolt documents natural-language creation of websites and web or mobile applications.",https://support.bolt.new/building/intro-bolt,documentation,verified,2026-08-13,platform,"Bolt focuses on JavaScript-based application development."
BO002,bolt,managed_backend,"Bolt documents Bolt Cloud services for databases authentication hosting and domains.",https://support.bolt.new/building/intro-bolt,documentation,verified,2026-08-13,Bolt_Cloud,"Confirm service boundaries portability and production limits."
BO003,bolt,code_workflow,"Bolt documents GitHub integration as part of its application-development workflow.",https://support.bolt.new/integrations/git,documentation,scoped,2026-08-13,GitHub_integration,"Review import synchronization branch and export behavior for the intended workflow."
BO004,bolt,mobile,"Bolt documents mobile application development through Expo integration.",https://support.bolt.new/integrations/expo,documentation,scoped,2026-08-13,Expo_mobile,"Native capabilities build distribution offline behavior and store release must be tested."
BO005,bolt,publishing,"Bolt documents publishing applications with Bolt hosting and custom-domain options.",https://support.bolt.new/cloud/hosting/publish,documentation,scoped,2026-08-13,Bolt_hosting,"Plan limits and hosting characteristics require current verification."
